No,Kode,Wilayah,Kota
1,BA,Sumatera Barat,"Kabupaten Solok Selatan, Kota Pariaman, Kabupaten Dharmasraya, Kabupaten Kepulauan Mentawai, Kabupaten Pasaman Barat, Kota Solok, Kota Padang Panjang, Kota Payakumbuh, Kota Bukittinggi, Kabupaten Sijunjung, Kota Sawahlunto, Kabupaten Solok, Kabupaten Pesisir Selatan, Kabupaten Padang Pariaman, Kabupaten Tanah Datar, Kabupaten Pasaman, Kabupaten Lima Puluh Kota, Kota Padang, "
2,BB,Sumatera Utara,"Kabupaten Pakpak Bharat, Kabupaten Dairi, Kabupaten Nias Selatan, Kabupaten Nias, Kabupaten Nias Barat, Kota Gunungsitoli, Kabupaten Mandailing Natal, Kabupaten Nias Utara, Kabupaten Tapanuli Tengah, Kabupaten Padang Lawas, Kabupaten Padang Lawas Utara, Kabupaten Tapanuli Selatan, Kota Padang Sidempuan, Kabupaten Toba, Kabupaten Humbang Hasundutan, Kabupaten Samosir, Kabupaten Tapanuli Utara, Kota Sibolga"
3,BK,Sumatera Utara,"Kabupaten Labuhanbatu Selatan, Kabupaten Labuhanbatu, Kabupaten Deli Bedagai, Kota Pematang Siantar, Kabupaten Asahan, Kabupaten Simalungun, Kabupaten Karo, Kota Binjai, Kota Tanjung Balai, Kabupaten Langkat, Kabupaten Batubara, Kota Tebing Tinggi, Kabupaten Deli Serdang, Kabupaten Labuhanbatu Utara, Kota Medan"
4,BD,Bengkulu,"Kabupaten Bengkulu Tengah, Kabupaten Kaur, Kabupaten Seluma, Kabupaten Muko Muko, Kabupaten Lebong, Kabupaten Kepahiang, Kabupaten Rejang Lebong, Kabupaten Bengkulu Utara, Kabupaten Bengkulu Selatan, Kota Bengkulu"
5,BE,Lampung,"Kabupaten Pesisir Barat, Kabupaten Way Kanan, Kabupaten Tanggamus, Kabupaten Pringsewu, Kabupaten Tulang Bawang, Kabupaten Pesawaran, Kabupaten Tulang Bawang Barat, Kabupaten Lampung Timur, Kabupaten Lampung Barat, Kabupaten Mesuji, Kabupaten Lampung Utara, Kabupaten Lampung Tengah, Kota Metro, Kabupaten Lampung Selatan, Kota Bandar Lampung"
6,BG,Sumatera Selatan,"Kabupaten Ogan Komering Ulu Timur, Kota Pagaralam, Kabupaten Ogan Komering Ulu Selatan, Kabupaten Ogan Ilir, Kabupaten Empat Lawang, Kabupaten Musi Rawas Utara, Kabupaten Penukal Adab Lematang Ilir, Kabupaten Ogan Komering Ilir, Kabupaten Lahat, Kabupaten Muara Enim, Kota Prabumulih, Kabupaten Musi Banyuasin, Kota Palembang"
7,BH,Jambi,"Kota Sungai Penuh, Kabupaten Sarolangun, Kabupaten Bungo, Kabupaten Tanjung Jabung Timur, Kabupaten Muaro Jambi, Kabupaten Merangin, Kabupaten Tanjung Jabung Barat, Kabupaten Kerinci, Kabupaten Tebo, Kabupaten Batanghari, Kota Jambi"
8,BL,Aceh,"Kabupaten Bireuen, Kabupaten Bener Meriah, Kabupaten Aceh Tenggara, Kabupaten Aceh Jaya, Kabupaten Nagan Raya, Kabupaten Tamiang, Kabupaten Aceh Selatan, Kabupaten Simeulue, Kabupaten Aceh Singkil, Kabupaten Pidie, Kabupaten Pidie Jaya, Kota Lhokseumawe, Kota Sabang, Kabupaten Aceh Utara, Kota Subulussalam, Kabupaten Gayo Lues, Kabupaten Aceh tengah, Kota Langsa, Kabupaten Aceh Barat, Kabupaten Aceh Timur, Kabupaten Aceh Barat Daya, Kabupaten Aceh Besar, Kota Banda Aceh"
9,BM,Riau,"Kabupaten Kepulauan Meranti, Kabupaten Siak, Kabupaten Rokan Hilir, Kabupaten Rokan Hulu, Kabupaten Kuantan Singingi, Kota Dumai, Kabupaten Indragiri Hilir, Kabupaten Kampar, Kabupaten Bengkalis, Kabupaten Pelalawan, Kabupaten Indragiri Hulu, Kota Pekanbaru"
10,BN,Kepulauan Bangka Belitung,"Kabupaten Belitung Timur, Kabupaten Belitung, Kabupaten Bangka Selatan, Kabupaten Bangka Barat, Kabupaten Bangka Tengah, Kabupaten Bangka, Kota Pangkal Pinang"
